LV6000619499	LV7008879541	LV3006121032	CAM2509
LV6000619917	LV7008879245	LV3006120633	CAM2509
LV6000620016	LV7008890373	LV3006120665	CAM2509
LV6000620032	LV7008890353	LV3006120680	CAM2509
LV6000620166	LV7008890404	LV3006120708	CAM2509
LV6000620172	LV7008890359	LV3006105274	CAM2509
LV6000654686	LV7008879263	LV3006121044	CAM2509
LV6000654698	LV7008879193	LV3006121074	CAM2509
LV7008416272	LV7008961181	LV3006006419	CAM23-13
LV7008416280	LV7008960345	LV3006006421	CAM23-13
LV7008416294	LV7009026578	LV3006006423	CAM23-13
LV7008416329	LV7008957621	LV3006007172	CAM23-11
LV7008416339	LV7009024536	LV3006007306	CAM23-13
LV7008416349	LV7009022707	LV3006007308	CAM23-13
LV7008416379	LV7008961151	LV3006007198	CAM23-11
LV7008416407	LV7009024089	LV3006007231	CAM23-11
